ID khách hàng,Khả năng trả nợ,Giới tính,Độ tuổi,Tình trạng hôn nhân,Tình trạng công việc hiện tại (số năm kinh nghiệm),Thu nhập,Chi tiêu (trung bình một tháng),Hóa đơn tiền điện,Tài sản thế chấp,Tình trạng sở hữu nhà ở,Số tiền dự kiến vay,Mục đích vay,Thời hạn khoản vay,Chứng minh thu nhập,Số thành viên phụ thuộc trong gia đình,Trình độ học vấn
0,0. Trả nợ đúng hạn,0. Nữ,37,1. Có gia đình,7,30000000,15000000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
1,0. Trả nợ đúng hạn,0. Nữ,41,1. Có gia đình,8,35000000,19000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
2,0. Trả nợ đúng hạn,1. Nam,33,1. Có gia đình,6,35000000,20000000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,2. Thạc sĩ
3,0. Trả nợ đúng hạn,1. Nam,36,1. Có gia đình,7,35000000,4500000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,1. Tiến sĩ
4,0. Trả nợ đúng hạn,1. Nam,35,1. Có gia đình,5,35000000,4500000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
5,0. Trả nợ đúng hạn,1. Nam,36,1. Có gia đình,8,35000000,15000000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,3. Đại học
6,0. Trả nợ đúng hạn,0. Nữ,41,1. Có gia đình,5,35000000,14500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,2. Thạc sĩ
7,0. Trả nợ đúng hạn,1. Nam,39,1. Có gia đình,9,35000000,25000000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,3. Đại học
8,0. Trả nợ đúng hạn,0. Nữ,42,1. Có gia đình,5,30000000,9000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,1. Tiến sĩ
9,0. Trả nợ đúng hạn,1. Nam,33,1. Có gia đình,5,35000000,4500000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
10,0. Trả nợ đúng hạn,1. Nam,33,1. Có gia đình,9,30000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
